code,name,price,pct,main_net,main_pct,xl_net,l_net,m_net,s_net
601360,三六零,9.03,2.9647,164237152,15.7551,170811192,-6574040,-164237152,
002353,杰瑞股份,124.7,-0.9531,163586224,8.1412,202646368,-39060144,-163586224,
000829,天音控股,9.77,10.0225,160717409,30.6672,143069065,17648344,-160717409,
688035,德邦科技,85.4,8.8037,155702032,17.6539,52481549,103220483,-155702032,
002138,顺络电子,53.37,1.6184,154006361,8.4947,115905129,38101232,-154006361,
300642,透景生命,20.35,19.9882,153100555,22.1436,180653331,-27552776,-153100555,
002246,北化股份,26.27,10.0084,151968565,16.008,197855280,-45886715,-151968565,
600028,中国石化,5.3,2.7132,151966172,12.4128,145046848,6919324,-151966172,
300468,四方精创,22.96,4.4111,148567562,11.8086,30652600,117914962,-148567562,
002271,东方雨虹,10.73,3.7718,148249786,20.0319,76324003,71925783,-148249786,
603580,艾艾精工,71.53,9.9954,147784744,28.1994,96217168,51567576,-147784744,
688257,新锐股份,59.57,2.354,147597054,12.4803,60191902,87405152,-147597054,
301047,义翘神州,117.34,3.7764,147460802,11.0425,45893042,101567760,-147460802,
600919,江苏银行,12.13,-0.3287,147394717,14.3395,87350215,60044502,-147394717,
301511,德福科技,110.61,0.0995,146610048,4.8919,70076416,76533632,-146610048,
002172,澳洋健康,5.81,10.0379,146241947,21.8964,124144874,22097073,-146241947,
301489,思泉新材,131.4,2.3444,145383609,14.1546,69831027,75552582,-145383609,
601319,中国人保,8.04,2.8133,144711682,17.1208,208980126,-64268444,-144711682,
688183,生益电子,120.86,-0.2805,142940928,6.6868,57788352,85152576,-142940928,
605376,博迁新材,137.48,-1.1788,142369135,6.7952,19192783,123176352,-142369135,
002050,三花智控,36.18,2.4639,142230658,6.0464,87482722,54747936,-142230658,
600246,万通发展,14.12,3.0657,139147653,9.288,51274981,87872672,-139147653,
301236,软通动力,38.23,3.3523,137975718,17.2386,74153819,63821899,-137975718,
000756,新华制药,14.67,9.97,137738683,44.5353,154878183,-17139500,-137738683,
601601,中国太保,32.0,-0.2494,136345003,9.0813,43269147,93075856,-136345003,
000831,中国稀土,55.3,3.5774,133280541,8.216,150371773,-17091232,-133280541,
600812,华北制药,5.08,9.9567,132534873,29.9907,102051009,30483864,-132534873,
603068,博通集成,43.79,9.9975,131923209,14.6396,136442171,-4518962,-131923209,
603319,美湖股份,32.18,10.0171,127656183,13.1799,138403133,-10746950,-127656183,
688143,长盈通,205.07,4.8844,121392784,4.7091,113511008,7881776,-121392784,
300567,精测电子,214.6,-2.0762,120340412,10.1857,43560703,76779709,-120340412,
300857,协创数据,273.1,1.9448,118887696,3.2073,126952224,-8064528,-118887696,
600026,中远海能,22.92,3.8514,118803504,5.4218,95054800,23748704,-118803504,
603306,华懋科技,84.77,1.4966,117121752,11.2506,58298188,58823564,-117121752,
603893,瑞芯微,198.0,4.1886,116664523,4.969,125061371,-8396848,-116664523,
300136,信维通信,59.68,0.2857,115929280,4.0234,-23618944,139548224,-115929280,
002466,天齐锂业,43.26,1.1693,115416762,8.7931,92010506,23406256,-115416762,
300759,康龙化成,45.13,4.2263,113976992,3.4953,785120,113191872,-113976992,
688137,近岸蛋白,118.84,20.004,113005898,10.3717,119999226,-6993328,-113005898,
603601,再升科技,10.66,4.4074,112790520,6.5397,40215592,72574928,-112790520,
600188,兖矿能源,20.44,3.8618,112164601,12.1841,16682442,95482159,-112164601,
688668,鼎通科技,266.15,-1.2797,111488491,10.9189,30420159,81068332,-111488491,
001317,三羊马,59.96,9.9982,110082090,16.5236,99645139,10436951,-110082090,
300782,卓胜微,76.34,3.5259,109383671,9.3091,53425415,55958256,-109383671,
600196,复星医药,23.05,4.63,107652812,13.5419,97314520,10338292,-107652812,
600887,伊利股份,26.65,0.188,105409211,10.3648,23827192,81582019,-105409211,
300760,迈瑞医疗,158.05,0.7522,105408221,10.1986,35223618,70184603,-105408221,
300378,鼎捷数智,38.52,4.4752,104976894,11.9816,43382660,61594234,-104976894,
688331,荣昌生物,125.0,8.8471,104161483,7.8947,84604363,19557120,-104161483,
300426,华智数媒,8.35,13.9154,103343854,18.3211,114000872,-10657018,-103343854,
603395,红四方,28.14,10.0078,103188676,23.0754,103549947,-361271,-103188676,
300454,深信服,143.25,0.1328,103078933,7.1099,67067093,36011840,-103078933,
600487,亨通光电,71.75,3.2523,102964864,0.7831,61758992,41205872,-102964864,
002957,科瑞技术,42.88,1.0368,102060148,10.0062,16803890,85256258,-102060148,
603129,春风动力,305.62,5.2447,101070211,12.3736,43490801,57579410,-101070211,
688001,华兴源创,75.17,-0.2654,100668398,11.5741,15148147,85520251,-100668398,
600699,均胜电子,20.95,4.0218,100623611,7.1327,12781675,87841936,-100623611,
002178,延华智能,5.08,9.9567,100430658,42.2617,112203197,-11772539,-100430658,
300369,绿盟科技,9.47,13.6855,100276314,9.2438,111185192,-10908878,-100276314,
688172,燕东微,47.6,1.4709,100137808,15.494,49386255,50751553,-100137808,
600593,大连圣亚,48.57,10.0113,98584905,13.4034,85529195,13055710,-98584905,
301086,鸿富瀚,176.0,6.1584,98484492,9.7638,22236796,76247696,-98484492,
688485,九州一轨,114.59,1.4071,97862275,12.857,37501045,60361230,-97862275,
603067,振华股份,36.95,5.1508,97002479,6.9361,153653999,-56651520,-97002479,
002174,游族网络,14.57,3.041,96858697,13.2563,21693592,75165105,-96858697,
603269,海鸥股份,26.78,1.7091,96827746,14.3557,24002870,72824876,-96827746,
603757,大元泵业,70.08,2.7566,96699036,15.7739,67356299,29342737,-96699036,
301093,华兰股份,72.85,13.4205,94939163,13.1606,57570302,37368861,-94939163,
600714,金瑞矿业,19.25,10.0,94672516,21.2446,66644055,28028461,-94672516,
600785,新华百货,11.35,9.9806,94249333,30.3903,75087640,19161693,-94249333,
002594,比亚迪,85.22,1.0913,94134048,4.4683,30500496,63633552,-94134048,
300033,同花顺,210.66,1.6699,93792528,4.6485,58668464,35124064,-93792528,
688535,华海诚科,110.3,-1.7809,93503874,9.0931,19127866,74376008,-93503874,
000532,华金资本,14.26,10.0309,92992194,12.5102,118804392,-25812198,-92992194,
300862,蓝盾光电,56.04,1.9465,92809932,6.1977,47166332,45643600,-92809932,
300725,药石科技,50.32,6.565,91484145,6.5768,28249073,63235072,-91484145,
002074,国轩高科,26.67,2.0275,90747995,13.2427,76408349,14339646,-90747995,
601099,太平洋,3.57,2.8818,90599074,13.6416,82525244,8073830,-90599074,
300606,金太阳,38.57,11.7647,89507364,14.8511,47001897,42505467,-89507364,
601857,中国石油,10.67,1.0417,89196282,6.3358,37521114,51675168,-89196282,
002821,凯莱英,190.99,3.1263,88811133,4.5063,20802989,68008144,-88811133,
688359,三孚新科,113.21,4.9504,88244156,16.1922,41641745,46602411,-88244156,
603920,世运电路,46.44,6.5138,87153894,4.3086,128839526,-41685632,-87153894,
002487,大金重工,39.7,0.2525,86863490,3.485,50142434,36721056,-86863490,
603636,南威软件,7.28,9.9698,86436112,21.6155,58135687,28300425,-86436112,
601288,农业银行,6.91,1.4684,85408688,4.1012,142877216,-57468528,-85408688,
300124,汇川技术,52.84,0.7436,85381484,5.9342,15505564,69875920,-85381484,
300145,南方泵业,5.19,6.5708,84954139,12.5484,70852364,14101775,-84954139,
301408,华人健康,16.07,8.9492,84607815,12.8568,48171917,36435898,-84607815,
300142,沃森生物,13.69,2.855,84462301,6.3566,71677053,12785248,-84462301,
688531,日联科技,148.0,0.7008,84046385,12.2212,40772426,43273959,-84046385,
600095,湘财股份,9.07,4.6136,82628573,11.0176,52252548,30376025,-82628573,
600330,天通股份,29.41,0.1362,82375312,3.2594,-19783296,102158608,-82375312,
002706,良信股份,8.92,5.0648,82302840,19.8291,57361345,24941495,-82302840,
002755,奥赛康,12.45,9.9823,82301796,19.0461,65694449,16607347,-82301796,
688028,沃尔德,124.3,-2.2184,82168976,6.206,4305376,77863600,-82168976,
002354,天娱数科,7.92,4.2105,81614117,4.1376,50175701,31438416,-81614117,
600010,包钢股份,2.15,1.4151,81101717,12.1743,83167367,-2065650,-81101717,
603958,哈森股份,18.37,10.0,80777740,21.1726,71414370,9363370,-80777740,
300260,新莱应材,64.52,0.389,80564438,5.2297,5809670,74754768,-80564438,
000983,山西焦煤,6.6,2.4845,80356998,17.8076,64739436,15617562,-80356998,
600685,中船防务,30.31,5.3162,79585622,10.1973,26477057,53108565,-79585622,
300835,龙磁科技,192.66,3.0267,79468792,9.5556,112805470,-33336678,-79468792,
002738,中矿资源,45.05,2.2934,79289302,9.1214,31417338,47871964,-79289302,
300151,昌红科技,21.46,3.6715,78842238,12.9076,37258743,41583495,-78842238,
600127,金健米业,15.75,9.986,78813280,2.8592,171236096,-92422816,-78813280,
001267,汇绿生态,39.2,3.0765,78807857,4.9617,62817729,15990128,-78807857,
300558,贝达药业,49.41,4.6379,78708918,9.1162,16333354,62375564,-78708918,
002669,康达新材,14.47,5.1599,78530883,10.8459,7460796,71070087,-78530883,
002104,恒宝股份,11.8,6.0198,78394866,7.2116,16961554,61433312,-78394866,
600893,航发动力,40.53,3.4192,78288586,5.5389,78867562,-578976,-78288586,
002947,恒铭达,68.62,2.9866,77632655,13.3541,40716446,36916209,-77632655,
600301,华锡有色,49.97,9.9934,77457501,27.0745,87758979,-10301478,-77457501,
002169,智光电气,14.9,9.1575,76824561,7.9939,95783482,-18958921,-76824561,
603688,石英股份,50.75,2.1949,76800278,7.5846,33276791,43523487,-76800278,
600587,新华医疗,13.4,10.0164,75980178,23.2875,58648528,17331650,-75980178,
688293,奥浦迈,75.45,6.7185,75425962,12.3686,33901006,41524956,-75425962,
002081,金螳螂,5.16,4.878,75217598,5.5313,43812316,31405282,-75217598,
300364,中文在线,24.96,2.2951,74905356,4.6518,-9390708,84296064,-74905356,
601058,赛轮轮胎,13.79,-0.4332,74705666,10.6666,-2420866,77126532,-74705666,
603936,博敏电子,21.61,1.2652,74471804,7.4035,21107482,53364322,-74471804,
688313,仕佳光子,171.5,0.6574,74421360,2.237,28464048,45957312,-74421360,
603093,南华期货,13.99,9.9843,73875576,20.5062,66349612,7525964,-73875576,
002900,哈三联,13.04,10.0422,73720496,23.4846,61054241,12666255,-73720496,
601086,国芳集团,17.67,10.0249,73523891,6.7183,56709155,16814736,-73523891,
688525,佰维存储,217.58,0.3228,73020704,1.9693,46979696,26041008,-73020704,
300741,华宝股份,26.0,3.3797,72972991,7.6894,-164649,73137640,-72972991,
301230,泓博医药,38.82,10.2528,71821961,4.7019,-33024759,104846720,-71821961,
300456,赛微电子,37.65,2.9251,71350772,4.5509,14525668,56825104,-71350772,
301132,满坤科技,63.26,4.9262,71095463,6.6561,10834217,60261246,-71095463,
002303,美盈森,6.27,10.0,70633131,33.0447,96262258,-25629127,-70633131,
688256,寒武纪,1112.77,-0.0332,69923760,0.8302,-60085840,130009600,-69923760,
002094,青岛金王,5.49,7.2266,69835255,17.9673,44105431,25729824,-69835255,
600737,中粮糖业,15.2,2.8417,69502387,5.2406,24033427,45468960,-69502387,
002741,光华科技,26.39,3.9795,68824355,6.819,36339455,32484900,-68824355,
002042,华孚时尚,4.22,9.8958,68719772,20.4256,94749706,-26029934,-68719772,
002328,新朋股份,8.5,3.7851,67729142,10.864,18055548,49673594,-67729142,
002907,华森制药,15.25,10.0289,67423391,18.4818,54239899,13183492,-67423391,
300708,聚灿光电,9.28,6.0571,67188126,14.1648,43672965,23515161,-67188126,
000402,金融街,2.77,9.9206,67104672,15.079,82976317,-15871645,-67104672,
002388,新亚制程,7.95,9.9585,66918283,16.3763,59375849,7542434,-66918283,
600479,千金药业,12.34,6.1962,66626435,7.8554,36972868,29653567,-66626435,
688112,鼎阳科技,91.79,20.0026,66324079,7.0347,87011571,-20687492,-66324079,
300163,先锋新材,8.09,10.218,65791511,14.2885,40864457,24927054,-65791511,
603119,浙江荣泰,56.56,2.7243,65787127,8.056,35294298,30492829,-65787127,
603618,杭电股份,40.68,1.9293,65691088,2.0335,69218704,-3527616,-65691088,
002321,华英农业,2.3,10.0478,64650557,24.795,73980243,-9329686,-64650557,
300661,圣邦股份,122.61,-2.0139,64526249,3.8481,-35193703,99719952,-64526249,
600392,盛和资源,22.2,3.0641,64492616,6.1476,32286297,32206319,-64492616,
000962,东方钽业,62.91,4.85,64015795,4.0153,78088723,-14072928,-64015795,
000703,恒逸石化,16.95,0.0,63952474,5.2743,3200488,60751986,-63952474,
002027,分众传媒,4.76,2.1459,63674830,11.3446,106639879,-42965049,-63674830,
688179,阿拉丁,22.6,10.5675,63468793,12.1739,48067019,15401774,-63468793,
002709,天赐材料,33.53,0.5096,63405190,5.5243,35956188,27449002,-63405190,
002453,华软科技,5.87,9.9251,63046137,24.9234,71216330,-8170193,-63046137,
600410,华胜天成,17.19,4.0557,62904967,1.8468,70872903,-7967936,-62904967,
688578,艾力斯,102.09,1.6731,62846967,8.334,13034288,49812679,-62846967,
688661,和林微纳,107.0,-2.5235,62661669,13.3644,29987247,32674422,-62661669,
002285,世联行,3.18,10.0346,62239155,7.2435,68306999,-6067844,-62239155,
600435,北方导航,11.93,4.5574,62002552,14.6568,12557577,49444975,-62002552,
603588,高能环境,16.46,1.9827,61963089,7.7251,8022832,53940257,-61963089,
000536,华映科技,3.7,5.4131,61943501,9.6181,24600755,37342746,-61943501,
002017,东信和平,15.01,5.5556,61652481,11.9965,12689531,48962950,-61652481,
002084,海鸥住工,6.12,10.0719,61481501,18.5778,29130008,32351493,-61481501,
688312,燕麦科技,55.47,7.5,61103202,7.9277,22864501,38238701,-61103202,
300773,拉卡拉,15.3,2.4782,61041829,8.4592,14883513,46158316,-61041829,
688519,南亚新材,322.96,2.1024,60909062,3.0628,48731126,12177936,-60909062,
603341,龙旗科技,37.03,4.3981,60665616,16.941,23963992,36701624,-60665616,
301176,逸豪新材,58.14,2.0,60558759,9.1742,16113759,44445000,-60558759,
601689,拓普集团,45.76,1.6889,60013580,4.8807,32473884,27539696,-60013580,
300666,江丰电子,257.06,-1.2978,59651408,2.4702,-32719760,92371168,-59651408,
600770,综艺股份,6.03,5.0523,59309140,12.627,43646777,15662363,-59309140,
688266,泽璟制药-U,119.37,6.771,59044799,8.6212,41919698,17125101,-59044799,
688185,康希诺,72.46,6.4805,59043405,7.3755,1365539,57677866,-59043405,
300331,苏大维格,49.41,1.7504,59016444,13.5851,23776121,35240323,-59016444,
688336,三生国健,42.15,4.1255,58738669,13.7539,6897817,51840852,-58738669,
600360,华微电子,11.61,6.0274,58672954,4.7241,79038997,-20366043,-58672954,
300726,宏达电子,60.53,3.5232,58034869,5.1448,4833672,53201197,-58034869,
688180,君实生物-U,34.97,4.9205,57838341,9.1203,35847122,21991219,-57838341,
002180,奔图科技,17.45,8.4525,57789533,10.3181,56958645,830888,-57789533,
600886,国投电力,14.25,-0.3497,57369293,16.3162,10395455,46973838,-57369293,
002064,华峰化学,10.09,1.7137,57272484,12.4673,11720782,45551702,-57272484,
002724,海洋王,7.84,9.9579,57086956,19.3824,49220501,7866455,-57086956,
002515,金字火腿,7.95,4.7431,56877206,9.3433,38434195,18443011,-56877206,
002787,华源控股,26.47,1.6513,56808569,11.4617,18444854,38363715,-56808569,
001203,大中矿业,24.74,5.3214,56567126,11.3193,27192695,29374431,-56567126,
603020,爱普股份,12.57,9.9738,56381073,21.2326,52273340,4107733,-56381073,
002580,圣阳股份,19.76,1.2295,55806456,6.8858,26514804,29291652,-55806456,
605006,山东玻纤,17.1,1.2433,55494260,6.176,47174950,8319310,-55494260,
300149,睿智医药,9.94,7.4595,55354761,11.6123,27489351,27865410,-55354761,
002259,升达林业,4.52,9.9757,54858891,25.2097,34901929,19956962,-54858891,
603203,快克智能,47.9,2.2412,54833207,9.5804,2935883,51897324,-54833207,
002317,众生药业,25.46,5.1197,54387763,7.5996,50902248,3485515,-54387763,
300593,新雷能,33.09,1.5031,54378594,7.5016,14796337,39582257,-54378594,
600172,黄河旋风,16.42,2.625,54059920,1.9372,29653040,24406880,-54059920,
603407,长裕集团,61.54,5.0529,53931090,11.2321,50254326,3676764,-53931090,
688073,毕得医药,71.76,5.2817,53616137,11.7253,19784785,33831352,-53616137,
600218,全柴动力,8.27,9.9734,53404371,17.2144,45312956,8091415,-53404371,
600693,东百集团,9.97,5.058,53123686,7.2605,35358659,17765027,-53123686,
002860,星帅尔,18.39,9.988,52857054,11.7078,23239183,29617871,-52857054,
000768,中航西飞,22.91,2.5056,52785584,10.5405,23817835,28967749,-52785584,
688090,瑞松科技,88.0,1.6049,52749786,4.2913,-28303094,81052880,-52749786,
301500,飞南资源,28.41,5.8495,52442023,11.0988,13385842,39056181,-52442023,
002886,沃特股份,26.95,2.0833,52365453,5.6135,14672928,37692525,-52365453,
001376,百通能源,13.93,10.0316,52237313,23.009,59657355,-7420042,-52237313,
002909,集泰股份,6.87,5.8552,52054125,11.4573,74687221,-22633096,-52054125,
300170,汉得信息,15.67,2.4183,51956479,6.545,16238149,35718330,-51956479,
002975,博杰股份,107.53,2.5463,51624391,4.5514,33522599,18101792,-51624391,
600343,航天动力,21.04,-2.9072,51427806,5.0485,-21359417,72787223,-51427806,
000933,神火股份,26.24,-2.1261,51374950,5.5603,3484427,47890523,-51374950,
002429,兆驰股份,8.28,1.5951,51022817,12.2348,40729871,10292946,-51022817,
002141,贤丰控股,6.75,3.8462,50994428,4.9653,-1614681,52609109,-50994428,
600059,古越龙山,11.48,7.2897,50934227,4.4387,24943483,25990744,-50934227,
002023,海特高新,10.02,5.5848,50722929,22.2332,16405603,34317326,-50722929,
600795,国电电力,5.25,-0.1901,50472605,8.4914,-885595,51358200,-50472605,
600143,金发科技,13.41,1.8223,50287943,14.3177,44011600,6276343,-50287943,
300829,金丹科技,25.72,20.0187,50247074,6.442,63960749,-13713675,-50247074,
002869,金溢科技,17.04,10.0065,50233304,38.9194,39312494,10920810,-50233304,
601975,招商南油,4.85,4.5259,49973879,4.8047,27058685,22915194,-49973879,
301550,斯菱智驱,98.53,3.836,49899002,4.7233,17452656,32446346,-49899002,
300691,联合光电,17.76,20.0,49808687,9.8641,35412170,14396517,-49808687,
603507,振江股份,26.48,9.4215,49174612,8.7439,23296404,25878208,-49174612,
600503,华丽家族,2.43,9.9548,49063617,23.8138,47205629,1857988,-49063617,
002367,康力电梯,6.28,9.9825,49052414,28.2267,43170544,5881870,-49052414,
300049,福瑞医科,49.29,2.9234,48959866,12.3946,20676009,28283857,-48959866,
002482,广田集团,1.41,5.2239,48898728,21.5927,63030717,-14131989,-48898728,
601816,京沪高铁,4.77,0.4211,48893806,10.4743,24453050,24440756,-48893806,
000425,徐工机械,7.39,-0.8054,48347422,5.3862,-12039002,60386424,-48347422,
002011,盾安环境,14.76,3.9437,48145000,7.386,23103940,25041060,-48145000,
601100,恒立液压,93.48,1.3883,48077711,5.0705,32884447,15193264,-48077711,
300693,盛弘股份,38.47,-0.5943,47853414,11.9939,29475458,18377956,-47853414,
002518,科士达,39.49,0.4579,47447154,5.2908,21581566,25865588,-47447154,
002432,九安医疗,63.78,2.6722,47164627,4.5151,68065218,-20900591,-47164627,
002123,梦网科技,8.02,5.1114,47115420,15.0169,21391206,25724214,-47115420,
002212,天融信,7.28,2.9703,46567058,4.4477,19466484,27100574,-46567058,
688103,国力电子,84.36,6.6768,46555708,16.2198,41883958,4671750,-46555708,
002142,宁波银行,34.89,0.6926,46146889,5.5254,21588984,24557905,-46146889,
601609,金田股份,13.26,-0.1506,46041017,8.4423,47652812,-1611795,-46041017,
002645,华宏科技,18.66,2.1346,45959290,10.2569,26457074,19502216,-45959290,
601868,中国能建,2.45,0.823,45715458,9.8582,46952226,-1236768,-45715458,
301366,一博科技,72.0,-3.2518,45616093,3.2114,-405347,46021440,-45616093,
603881,数据港,24.64,1.9024,45393554,7.2129,30576602,14816952,-45393554,
600763,通策医疗,34.06,4.0954,45295388,12.0778,9729544,35565844,-45295388,
688059,华锐精密,90.78,2.9252,44253115,10.3781,15796650,28456465,-44253115,
000960,锡业股份,33.69,0.2679,44169021,5.2151,13672496,30496525,-44169021,
000818,航锦科技,12.37,5.4561,44117811,14.0315,14639684,29478127,-44117811,
002092,中泰化学,4.59,3.8462,43313388,20.3981,30716403,12596985,-43313388,
688168,安博通,46.71,4.7309,43144014,9.7141,16852674,26291340,-43144014,
600926,杭州银行,17.18,0.2334,43088539,6.1685,21618808,21469731,-43088539,
603087,甘李药业,71.4,3.6134,42927462,6.1003,33780984,9146478,-42927462,
300487,蓝晓科技,70.8,2.9369,42793366,9.0,16318739,26474627,-42793366,
688603,天承科技,122.3,-1.6644,42717795,6.0909,-8388915,51106710,-42717795,
300811,铂科新材,85.42,0.862,42697787,4.6234,19891317,22806470,-42697787,
300204,舒泰神,20.89,5.2393,42487982,8.369,5482249,37005733,-42487982,
300679,电连技术,46.11,1.5863,42407815,5.3799,9924139,32483676,-42407815,
000995,皇台酒业,11.92,9.9631,42164819,32.3797,39274626,2890193,-42164819,
601985,中国核电,8.91,-0.3356,41485576,8.1518,9296713,32188863,-41485576,
603950,长源东谷,60.16,-0.7425,41294946,10.3243,5201112,36093834,-41294946,
603978,深圳新星,24.68,8.1507,41235550,7.3681,14774923,26460627,-41235550,
600325,华发股份,2.73,10.0806,41166496,9.8426,27773380,13393116,-41166496,
002022,科华生物,6.17,9.9822,41149344,28.8019,45952665,-4803321,-41149344,
688315,诺禾致源,18.18,20.0,41078433,12.8054,54380777,-13302344,-41078433,
002891,中宠股份,29.65,7.5444,41004891,10.7834,7103682,33901209,-41004891,
300488,恒锋工具,38.3,3.7378,40761862,11.8881,18980131,21781731,-40761862,
000538,云南白药,51.09,0.0784,40568362,10.8751,-7467314,48035676,-40568362,
300323,华灿光电,12.03,5.0655,40309343,4.4453,28556194,11753149,-40309343,
300404,博济医药,14.37,7.2388,40153191,4.279,30400113,9753078,-40153191,
600760,中航沈飞,45.0,2.5057,40153173,5.7428,9620893,30532280,-40153173,
603738,泰晶科技,38.57,1.7947,40150935,4.2457,6024830,34126105,-40150935,
003026,中晶科技,37.89,1.8548,40129980,2.3242,634252,39495728,-40129980,
