姓名,简写,代表团代码,金,银,铜,合计,项目,小项,奖牌
ZHAO Jiayue,ZHAO J,CHN,1,0,0,1,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
WU Qingfeng,WU Q,CHN,1,0,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
WAN Letian,WAN L,CHN,1,0,0,1,SWM,Women's 50m Backstroke,ME_GOLD
ZHANG Yufei,ZHANG Y,CHN,1,0,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
TANG Qianting,TANG Q,CHN,1,0,0,1,SWM,Women's 50m Breaststroke,ME_GOLD
PENG Xuwei,PENG X,CHN,1,0,0,1,SWM,Women's 200m Backstroke,ME_GOLD
FAN Yaqi,FAN Y,CHN,1,0,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_GOLD
GONG Li,GONG L,CHN,1,0,0,1,KTE,Women's Kumite -61kg - Final,ME_GOLD
LI Qiaoqiao,LI Q,CHN,1,0,0,1,KTE,Women's Kumite -68kg - Final,ME_GOLD
LI Mingxu,LI M,CHN,1,0,0,1,TRI,Mixed Relay,ME_GOLD
SHAM Hui Yu Lydia,SHAM HYL,HKG,1,0,0,1,WSU,Women's Changquan - Final,ME_GOLD
FULMALI Bharti Shrikrushna,FULMALI BS,IND,1,0,0,1,CKT,Women,ME_GOLD
GHOSH Richa,GHOSH R,IND,1,0,0,1,CKT,Women,ME_GOLD
SHARMA Deepti,SHARMA D,IND,1,0,0,1,CKT,Women,ME_GOLD
BHULLAR Harmanpreet Kaur,BHULLAR HK,IND,1,0,0,1,CKT,Women,ME_GOLD
YADAV Radha Omprakash,YADAV RO,IND,1,0,0,1,CKT,Women,ME_GOLD
Renuka,Renuka,IND,1,0,0,1,CKT,Women,ME_GOLD
RAJESH PATIL Shreyanka,RAJESH PATIL S,IND,1,0,0,1,CKT,Women,ME_GOLD
Arundhati Reddy,Arundhati Reddy,IND,1,0,0,1,CKT,Women,ME_GOLD
GUNALAN Kamalini,GUNALAN K,IND,1,0,0,1,CKT,Women,ME_GOLD
Shafali,Shafali,IND,1,0,0,1,CKT,Women,ME_GOLD
MANDHANA Smriti Shriniwas,MANDHANA SS,IND,1,0,0,1,CKT,Women,ME_GOLD
NALLAPUREDDY Sree Charani,NALLAPUREDDY SC,IND,1,0,0,1,CKT,Women,ME_GOLD
GAUD Kranti Devi,GAUD KD,IND,1,0,0,1,CKT,Women,ME_GOLD
SHARMA Nandani,SHARMA N,IND,1,0,0,1,CKT,Women,ME_GOLD
RAWAL Pratika,RAWAL P,IND,1,0,0,1,CKT,Women,ME_GOLD
NEMATI Morteza,NEMATI M,IRI,1,0,0,1,KTE,Men's Kumite -75kg - Final,ME_GOLD
ALJA'FARI Mohammad,ALJA'FARI M,JOR,1,0,0,1,KTE,Men's Kumite -84kg - Final,ME_GOLD
NISHIYAMA Kakeru,NISHIYAMA K,JPN,1,0,0,1,KTE,Men's Individual Kata - Final,ME_GOLD
ONO Maho,ONO M,JPN,1,0,0,1,KTE,Women's Individual Kata - Final,ME_GOLD
IIMURA Kazuki,IIMURA K,JPN,1,0,0,1,FEN,Men's Foil Individual,ME_GOLD
SUGIHARA Aiko,SUGIHARA A,JPN,1,0,0,1,GAR,Women's All-Around,ME_GOLD
MIYAMAE Kiho,MIYAMAE K,JPN,1,0,0,1,TST,Women's Team,ME_GOLD
NAKATANI Sakura,NAKATANI S,JPN,1,0,0,1,TST,Women's Team,ME_GOLD
IWAKURA Ayaka,IWAKURA A,JPN,1,0,0,1,TST,Women's Team,ME_GOLD
KUROSAKA Takuya,KUROSAKA T,JPN,1,0,0,1,TST,Men's Team,ME_GOLD
UCHIMOTO Takafumi,UCHIMOTO T,JPN,1,0,0,1,TST,Men's Team,ME_GOLD
HIROOKA Sora,HIROOKA S,JPN,1,0,0,1,TST,Men's Team,ME_GOLD
LUTSENKO Alexey,LUTSENKO A,KAZ,1,0,0,1,CRD,Men's Individual Time Trial,ME_GOLD
SULTANOVA Rinata,SULTANOVA R,KAZ,1,0,0,1,CRD,Women's Individual Time Trial,ME_GOLD
BERULTSEVA Sofya,BERULTSEVA S,KAZ,1,0,0,1,KTE,Women's Kumite +68kg - Final,ME_GOLD
BIGABYL Zholaman,BIGABYL Z,KAZ,1,0,0,1,KTE,Men's Kumite -55kg - Final,ME_GOLD
BURKUTALIN Yerkingali,BURKUTALIN Y,KAZ,1,0,0,1,MMA,Men's Traditional -77kg - Final,ME_GOLD
SHINBAYEV Kadyrbek,SHINBAYEV K,KAZ,1,0,0,1,MMA,Men's Modern -71kg - Final,ME_GOLD
SONG Sera,SONG S,KOR,1,0,0,1,FEN,Women's Épée Individual,ME_GOLD
LEE Hyunjung,LEE H,KOR,1,0,0,1,BKB,Men,ME_GOLD
EDI Daniel,EDI D,KOR,1,0,0,1,BKB,Men,ME_GOLD
LEE Junghyun,LEE J,KOR,1,0,0,1,BKB,Men,ME_GOLD
LEE Seounghyun,LEE S,KOR,1,0,0,1,BKB,Men,ME_GOLD
MOON Yuhyeon,MOON Y,KOR,1,0,0,1,BKB,Men,ME_GOLD
YU Kisang,YU K,KOR,1,0,0,1,BKB,Men,ME_GOLD
YEO Jun Seok,YEO J,KOR,1,0,0,1,BKB,Men,ME_GOLD
BYEON Junhyeong,BYEON J,KOR,1,0,0,1,BKB,Men,ME_GOLD
