,品牌价,上金所,溢价,溢价率%
2026-03-03,1647.0,1182.0,465.0,39.340101522842644
2026-03-04,1594.0,1153.18,440.81999999999994,38.22646941500892
2026-03-05,1594.0,1149.61,444.3900000000001,38.65571802611322
2026-03-06,1574.0,1139.33,434.6700000000001,38.15136966462747
2026-03-09,1568.0,1140.38,427.6199999999999,37.498026973464974
2026-03-10,1581.0,1144.78,436.22,38.10513810513811
2026-03-11,1594.0,1150.42,443.5799999999999,38.55809182733262
2026-03-12,1581.0,1146.45,434.54999999999995,37.903964411880146
2026-03-13,1575.0,1131.09,443.9100000000001,39.24621382913828
2026-03-16,1552.0,1114.61,437.3900000000001,39.24152842698344
2026-03-17,1546.0,1115.97,430.03,38.53418998718603
2026-03-18,1546.0,1111.89,434.1099999999999,39.04253118563886
2026-03-19,1498.0,1061.0,437.0,41.1875589066918
2026-03-20,1442.0,1041.59,400.4100000000001,38.442189345135816
2026-03-23,1370.0,924.65,445.35,48.164170226572224
2026-03-24,1341.0,979.56,361.44000000000005,36.89819919147373
2026-03-25,1407.0,1015.45,391.54999999999995,38.55925944162686
2026-03-26,1407.0,991.36,415.64,41.92624273724984
2026-03-27,1361.0,993.9,367.1,36.93530536271255
2026-03-30,1390.0,1008.75,381.25,37.79429987608427
2026-03-31,1390.0,1018.9,371.1,36.42163117087055
2026-04-01,1440.0,1047.89,392.1099999999999,37.41900390308142
2026-04-02,1440.0,1027.5,412.5,40.14598540145985
2026-04-03,1440.0,1034.42,405.5799999999999,39.208445312348935
2026-04-07,1428.0,1028.0,400.0,38.91050583657588
2026-04-08,1471.0,1059.91,411.0899999999999,38.78536856902943
2026-04-09,1445.0,1036.0,409.0,39.478764478764475
2026-04-10,1445.0,1047.23,397.77,37.98306007276338
2026-04-13,1445.0,1042.3,402.70000000000005,38.63570948863092
2026-04-14,1445.0,1048.35,396.6500000000001,37.835646492106655
2026-04-15,1473.0,1055.19,417.80999999999995,39.59571262047593
2026-04-16,1473.0,1058.36,414.6400000000001,39.177595525152135
2026-04-17,1460.0,1053.0,407.0,38.65147198480532
2026-04-20,1460.0,1053.98,406.02,38.52255261010645
2026-04-21,1460.0,1050.48,409.52,38.98408346660574
2026-04-22,1450.0,1049.11,400.8900000000001,38.21238954923699
2026-04-23,1450.0,1037.5,412.5,39.75903614457831
2026-04-24,1437.0,1033.25,403.75,39.07573191386402
2026-04-27,1437.0,1037.21,399.78999999999996,38.54474985779157
2026-04-28,1437.0,1020.73,416.27,40.7815974841535
2026-04-29,1405.0,1009.88,395.12,39.12544064641344
2026-04-30,1405.0,1013.6,391.4,38.61483820047356
2026-05-06,1408.0,1026.94,381.05999999999995,37.10635480164371
2026-05-07,1432.0,1038.94,393.05999999999995,37.832791114020054
2026-05-08,1432.0,1032.0,400.0,38.759689922480625
2026-05-11,1432.0,1025.82,406.18000000000006,39.59564056072216
2026-05-12,1441.0,1028.51,412.49,40.105589639381236
2026-05-13,1430.0,1029.99,400.01,38.83629938154739
2026-05-14,1423.0,1028.68,394.31999999999994,38.33262044561962
2026-05-15,1423.0,1006.01,416.99,41.44988618403396
2026-05-18,1374.0,999.69,374.30999999999995,37.44260720823455
2026-05-19,1391.0,998.0,393.0,39.37875751503006
2026-05-20,1375.0,984.98,390.02,39.59674308107778
2026-05-21,1375.0,991.4,383.6,38.6927577163607
2026-05-22,1375.0,992.1,382.9,38.59489970769076
2026-05-25,1388.0,997.0,391.0,39.217652958876634
2026-05-26,1388.0,991.97,396.03,39.92358639878222
2026-05-27,1370.0,982.53,387.47,39.435945976204295
2026-05-28,1348.0,961.82,386.17999999999995,40.150963797799996
2026-05-29,1360.0,984.96,375.03999999999996,38.07667316439245
2026-06-01,1371.0,980.6,390.4,39.8123597797267
2026-06-02,1355.0,987.45,367.54999999999995,37.222137829763525
2026-06-03,1355.0,972.8,382.20000000000005,39.28865131578948
2026-06-04,1355.0,974.5,380.5,39.045664443304254
