date,code,name,close
2025-04-16,BK1166,低空经济,1270.070000
2025-04-16,BK0668,医疗器械,3343.560000
2025-04-17,BK1134,AI 算力,1429.630000
2025-04-17,BK1128,CPO,2149.670000
2025-04-17,BK0917,半导体,1517.960000
2025-04-17,BK1137,存储,1249.700000
2025-04-17,BK0922,数据中心,1560.770000
2025-04-17,BK0579,云计算,2784.500000
2025-04-17,BK0963,商业航天,1462.060000
2025-04-17,BK0921,卫星,1239.350000
2025-04-17,BK1090,机器人,1513.740000
2025-04-17,BK0802,自动驾驶,1573.220000
2025-04-17,BK0577,核电,2010.060000
2025-04-17,BK0490,军工,57710.430000
2025-04-17,BK0493,新能源,13405.750000
2025-04-17,BK0588,光伏,2874.270000
2025-04-17,BK0574,锂电池,2679.570000
2025-04-17,BK0464,石油,5198.560000
2025-04-17,BK0843,天然气,1253.040000
2025-04-17,BK0478,铜/有色,15787.350000
2025-04-17,BK0547,黄金,12552.860000
2025-04-17,BK0475,银行金融,3820.790000
2025-04-17,BK1216,生物医疗,3799.170000
2025-04-17,BK0438,消费,28765.330000
2025-04-17,BK0578,稀土永磁,2180.710000
2025-04-17,BK1106,创新药,1068.610000
2025-04-17,BK0710,量子计算,2190.030000
2025-04-17,BK0968,固态电池,1489.040000
2025-04-17,BK1166,低空经济,1274.380000
2025-04-17,BK0668,医疗器械,3354.670000
2025-04-18,BK1134,AI 算力,1433.980000
2025-04-18,BK1128,CPO,2190.250000
2025-04-18,BK0917,半导体,1511.570000
2025-04-18,BK1137,存储,1241.940000
2025-04-18,BK0922,数据中心,1568.710000
2025-04-18,BK0579,云计算,2790.090000
2025-04-18,BK0963,商业航天,1470.990000
2025-04-18,BK0921,卫星,1256.950000
2025-04-18,BK1090,机器人,1517.950000
2025-04-18,BK0802,自动驾驶,1585.340000
2025-04-18,BK0577,核电,2013.660000
2025-04-18,BK0490,军工,57837.850000
2025-04-18,BK0493,新能源,13384.320000
2025-04-18,BK0588,光伏,2869.100000
2025-04-18,BK0574,锂电池,2691.630000
2025-04-18,BK0464,石油,5193.610000
2025-04-18,BK0843,天然气,1254.190000
2025-04-18,BK0478,铜/有色,15888.710000
2025-04-18,BK0547,黄金,12472.350000
2025-04-18,BK0475,银行金融,3846.450000
2025-04-18,BK1216,生物医疗,3793.930000
2025-04-18,BK0438,消费,27890.780000
2025-04-18,BK0578,稀土永磁,2154.170000
2025-04-18,BK1106,创新药,1066.890000
2025-04-18,BK0710,量子计算,2214.190000
2025-04-18,BK0968,固态电池,1501.040000
2025-04-18,BK1166,低空经济,1282.490000
2025-04-18,BK0668,医疗器械,3351.830000
2025-04-21,BK1134,AI 算力,1471.450000
2025-04-21,BK1128,CPO,2239.780000
2025-04-21,BK0917,半导体,1539.590000
2025-04-21,BK1137,存储,1266.920000
2025-04-21,BK0922,数据中心,1606.430000
2025-04-21,BK0579,云计算,2870.740000
2025-04-21,BK0963,商业航天,1505.270000
2025-04-21,BK0921,卫星,1281.090000
2025-04-21,BK1090,机器人,1556.220000
2025-04-21,BK0802,自动驾驶,1619.860000
2025-04-21,BK0577,核电,2040.190000
2025-04-21,BK0490,军工,58974.640000
2025-04-21,BK0493,新能源,13579.690000
2025-04-21,BK0588,光伏,2914.850000
2025-04-21,BK0574,锂电池,2739.150000
2025-04-21,BK0464,石油,5229.360000
2025-04-21,BK0843,天然气,1270.350000
2025-04-21,BK0478,铜/有色,16299.970000
2025-04-21,BK0547,黄金,13040.700000
2025-04-21,BK0475,银行金融,3802.080000
2025-04-21,BK1216,生物医疗,3864.280000
2025-04-21,BK0438,消费,28321.310000
2025-04-21,BK0578,稀土永磁,2197.230000
2025-04-21,BK1106,创新药,1095.410000
2025-04-21,BK0710,量子计算,2260.750000
2025-04-21,BK0968,固态电池,1529.940000
2025-04-21,BK1166,低空经济,1310.400000
2025-04-21,BK0668,医疗器械,3412.480000
2025-04-22,BK1134,AI 算力,1453.100000
2025-04-22,BK1128,CPO,2236.010000
2025-04-22,BK0917,半导体,1537.880000
2025-04-22,BK1137,存储,1262.230000
2025-04-22,BK0922,数据中心,1594.490000
2025-04-22,BK0579,云计算,2848.820000
2025-04-22,BK0963,商业航天,1496.360000
2025-04-22,BK0921,卫星,1272.650000
2025-04-22,BK1090,机器人,1540.930000
2025-04-22,BK0802,自动驾驶,1612.320000
2025-04-22,BK0577,核电,2029.010000
2025-04-22,BK0490,军工,58707.130000
2025-04-22,BK0493,新能源,13543.150000
2025-04-22,BK0588,光伏,2909.090000
2025-04-22,BK0574,锂电池,2732.700000
2025-04-22,BK0464,石油,5227.590000
2025-04-22,BK0843,天然气,1273.390000
2025-04-22,BK0478,铜/有色,16322.460000
2025-04-22,BK0547,黄金,13203.110000
2025-04-22,BK0475,银行金融,3836.600000
2025-04-22,BK1216,生物医疗,3890.430000
2025-04-22,BK0438,消费,28427.650000
2025-04-22,BK0578,稀土永磁,2177.950000
2025-04-22,BK1106,创新药,1111.060000
2025-04-22,BK0710,量子计算,2256.790000
2025-04-22,BK0968,固态电池,1519.870000
2025-04-22,BK1166,低空经济,1304.470000
2025-04-22,BK0668,医疗器械,3420.320000
2025-04-23,BK1134,AI 算力,1471.080000
2025-04-23,BK1128,CPO,2285.180000
2025-04-23,BK0917,半导体,1548.840000
2025-04-23,BK1137,存储,1273.160000
2025-04-23,BK0922,数据中心,1616.770000
2025-04-23,BK0579,云计算,2873.890000
2025-04-23,BK0963,商业航天,1513.590000
2025-04-23,BK0921,卫星,1284.240000
2025-04-23,BK1090,机器人,1586.340000
2025-04-23,BK0802,自动驾驶,1648.880000
2025-04-23,BK0577,核电,2055.050000
2025-04-23,BK0490,军工,59427.040000
2025-04-23,BK0493,新能源,13639.490000
2025-04-23,BK0588,光伏,2930.870000
2025-04-23,BK0574,锂电池,2760.760000
2025-04-23,BK0464,石油,5256.040000
2025-04-23,BK0843,天然气,1278.940000
2025-04-23,BK0478,铜/有色,16408.750000
